;brouette;;;;;;;brouette (1);;;;;;;brouette (2);;;;;;
;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid
4,862000;-72,861198;102,714073;2280,743896;3,489885;1,845783;5,644988;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,897000;-73,064682;102,649544;2280,722900;3,489604;1,772695;5,636374;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,931000;-73,269371;102,582550;2280,741455;3,547398;1,698264;5,633679;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,966000;-73,469994;102,632126;2280,736084;3,511866;1,682666;5,645247;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,000000;-73,694931;102,684799;2280,715332;3,390517;1,689655;5,637645;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,034000;-73,878403;102,625374;2280,670410;3,454287;1,680416;5,640492;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,069000;-74,080940;102,584579;2280,686768;3,270560;1,662113;5,627129;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,103000;-74,281502;102,627769;2280,671631;3,383041;1,696208;5,619274;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,138000;-74,486809;102,653763;2280,686523;3,493165;1,613612;5,633647;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,172000;-74,702240;102,594498;2280,685059;3,461518;1,651928;5,631105;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,207000;-74,902321;102,559631;2280,714355;3,466498;1,602132;5,606077;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,241000;-75,120590;102,600090;2280,692627;3,493088;1,691597;5,616587;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,276000;-75,331467;102,628059;2280,687500;3,561468;1,716480;5,636065;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,310000;-75,516212;102,572235;2280,672119;3,496012;1,662562;5,636220;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,345000;-75,732719;102,540764;2280,710938;3,501179;1,781463;5,615323;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,379000;-75,935394;102,584373;2280,723877;3,507136;1,777980;5,614874;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,414000;-76,149429;102,605385;2280,690918;3,549546;1,775106;5,618104;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,448000;-76,349136;102,535446;2280,636475;3,454785;1,726737;5,639510;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,483000;-76,549484;102,494377;2280,642578;3,369063;1,749746;5,640331;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,517000;-76,774681;102,561943;2280,678223;3,386790;1,798433;5,629819;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,552000;-76,971199;102,583771;2280,677246;3,499470;1,748215;5,634898;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,586000;-77,183540;102,513504;2280,651367;3,473187;1,749487;5,625003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,621000;-77,373375;102,490372;2280,632813;3,511429;1,727355;5,628429;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,655000;-77,581451;102,538429;2280,645996;3,471540;1,807848;5,635366;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,690000;-77,799316;102,556564;2280,663330;3,425242;1,862347;5,625017;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,724000;-77,995621;102,480278;2280,651611;3,413635;1,786964;5,633388;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,759000;-78,213791;102,461510;2280,668457;3,381536;1,764040;5,627569;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,793000;-78,416206;102,527725;2280,656494;3,373883;1,772518;5,624784;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,828000;-78,627411;102,530312;2280,624268;3,477752;1,788520;5,624673;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,862000;-78,830307;102,469040;2280,598877;3,425269;1,715956;5,640506;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,897000;-79,022797;102,457855;2280,618164;3,329579;1,807748;5,630777;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,931000;-79,253334;102,521851;2280,633057;3,390120;1,739567;5,639033;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,966000;-79,450233;102,519035;2280,621338;3,381727;1,790192;5,632225;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6,000000;-79,659973;102,447029;2280,584473;3,503695;1,724176;5,634698;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6,034000;-79,879959;102,434296;2280,601563;3,471271;1,791471;5,639687;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6,069000;-80,081512;102,491142;2280,576660;3,350193;1,804638;5,630873;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6,103000;-80,296883;102,498581;2280,564941;3,466560;1,877662;5,632129;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6,138000;-80,492432;102,433006;2280,575684;3,409229;1,890686;5,631371;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6,172000;-80,684196;102,415268;2280,592041;3,472296;1,850700;5,628586;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6,207000;-80,905602;102,488609;2280,578857;3,403583;1,823354;5,632946;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6,241000;-81,100266;102,479149;2280,590576;3,431000;1,920630;5,641495;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6,276000;-81,313683;102,414413;2280,561035;3,453007;1,913980;5,640505;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6,310000;-81,514114;102,411873;2280,571777;3,404080;1,981545;5,644481;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6,345000;-81,733566;102,472191;2280,576172;3,489383;1,949866;5,647260;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6,379000;-81,952606;102,475533;2280,593506;3,637335;1,936467;5,665796;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6,414000;-82,136688;102,397034;2280,586426;3,616890;1,822325;5,642353;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6,448000;-82,360161;102,401382;2280,565430;3,691161;1,834579;5,661313;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6,483000;-82,555000;102,453033;2280,575684;3,554060;1,809067;5,654678;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6,517000;-82,766075;102,434975;2280,545166;3,551449;1,838435;5,659844;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6,552000;-82,986359;102,381027;2280,560791;3,501616;1,845348;5,644613;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6,586000;-83,173668;102,376808;2280,550293;3,445958;1,726165;5,651253;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
